"Day","Sessions that reached checkout","Sessions that completed checkout","Checkout conversion rate","Day (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Checkout conversion rate (previous_period)","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Checkout conversion rate (previous_period) "
"2025-10-21",1,1,1,"2025-09-20",2,2,1,-50,-50,0
"2025-10-22",1,0,0,"2025-09-21",1,0,0,0,,
"2025-10-23",1,0,0,"2025-09-22",3,0,0,-66.66666666666667,,
"2025-10-24",0,0,,"2025-09-23",2,1,0.5,-100,-100,
"2025-10-25",4,3,0.75,"2025-09-24",3,4,1.3333333333333333,33.333333333333336,-25,-43.75
"2025-10-26",5,0,0,"2025-09-25",1,0,0,400,,
"2025-10-27",2,0,0,"2025-09-26",1,0,0,100,,
"2025-10-28",6,2,0.3333333333333333,"2025-09-27",1,0,0,500,,
"2025-10-29",3,1,0.3333333333333333,"2025-09-28",2,0,0,50,,
"2025-10-30",2,0,0,"2025-09-29",3,1,0.3333333333333333,-33.333333333333336,-100,-99.99999999999999
"2025-10-31",6,2,0.3333333333333333,"2025-09-30",1,1,1,500,100,-66.66666666666667
"2025-11-01",3,1,0.3333333333333333,"2025-10-01",4,0,0,-25,,
"2025-11-02",4,3,0.75,"2025-10-02",2,1,0.5,100,200,50
"2025-11-03",9,2,0.2222222222222222,"2025-10-03",3,2,0.6666666666666666,200,0,-66.66666666666667
"2025-11-04",1,1,1,"2025-10-04",3,1,0.3333333333333333,-66.66666666666667,0,200.00000000000003
"2025-11-05",3,3,1,"2025-10-05",1,1,1,200,200,0
"2025-11-06",2,2,1,"2025-10-06",0,0,,,,
"2025-11-07",0,0,,"2025-10-07",4,1,0.25,-100,-100,
"2025-11-08",3,3,1,"2025-10-08",2,1,0.5,50,200,100
"2025-11-09",2,2,1,"2025-10-09",3,1,0.3333333333333333,-33.333333333333336,100,200.00000000000003
"2025-11-10",2,1,0.5,"2025-10-10",1,1,1,100,0,-50
"2025-11-11",2,0,0,"2025-10-11",2,1,0.5,0,-100,-100
"2025-11-12",6,2,0.3333333333333333,"2025-10-12",2,1,0.5,200,100,-33.333333333333336
"2025-11-13",2,1,0.5,"2025-10-13",1,0,0,100,,
"2025-11-14",2,1,0.5,"2025-10-14",1,0,0,100,,
"2025-11-15",1,1,1,"2025-10-15",2,0,0,-50,,
"2025-11-16",3,0,0,"2025-10-16",1,0,0,200,,
"2025-11-17",4,1,0.25,"2025-10-17",2,1,0.5,100,0,-50
"2025-11-18",2,1,0.5,"2025-10-18",5,2,0.4,-60,-50,24.999999999999993
"2025-11-19",4,1,0.25,"2025-10-19",1,0,0,300,,
"2025-11-20",0,0,,"2025-10-20",1,0,0,,,
