"Month","Months since first purchase","Customers","Customer retention rate","Customers in cohort"
"2024-11-01",3,0,,0
"2024-11-01",9,0,,0
"2024-11-01",8,0,,0
"2024-11-01",2,0,,0
"2024-11-01",10,0,,0
"2024-11-01",0,0,,0
"2024-11-01",1,0,,0
"2024-11-01",11,0,,0
"2024-11-01",4,0,,0
"2024-11-01",5,0,,0
"2024-11-01",7,0,,0
"2024-11-01",6,0,,0
"2024-12-01",1,0,0,4
"2024-12-01",10,1,0.25,4
"2024-12-01",0,0,0,4
"2024-12-01",8,0,0,4
"2024-12-01",2,0,0,4
"2024-12-01",3,0,0,4
"2024-12-01",9,1,0.25,4
"2024-12-01",6,0,0,4
"2024-12-01",7,0,0,4
"2024-12-01",5,0,0,4
"2024-12-01",4,0,0,4
"2025-01-01",3,0,0,2
"2025-01-01",9,0,0,2
"2025-01-01",8,0,0,2
"2025-01-01",2,0,0,2
"2025-01-01",0,0,0,2
"2025-01-01",1,0,0,2
"2025-01-01",4,0,0,2
"2025-01-01",5,0,0,2
"2025-01-01",7,0,0,2
"2025-01-01",6,0,0,2
"2025-02-01",3,0,0,6
"2025-02-01",8,0,0,6
"2025-02-01",2,0,0,6
"2025-02-01",0,0,0,6
"2025-02-01",1,0,0,6
"2025-02-01",4,0,0,6
"2025-02-01",5,0,0,6
"2025-02-01",7,0,0,6
"2025-02-01",6,0,0,6
"2025-03-01",4,0,0,6
"2025-03-01",5,0,0,6
"2025-03-01",7,0,0,6
"2025-03-01",6,0,0,6
"2025-03-01",3,0,0,6
"2025-03-01",2,0,0,6
"2025-03-01",0,0,0,6
"2025-03-01",1,0,0,6
"2025-04-01",5,0,0,1
"2025-04-01",4,0,0,1
"2025-04-01",6,0,0,1
"2025-04-01",2,0,0,1
"2025-04-01",3,0,0,1
"2025-04-01",1,0,0,1
"2025-04-01",0,0,0,1
"2025-05-01",4,0,0,3
"2025-05-01",5,0,0,3
"2025-05-01",3,0,0,3
"2025-05-01",2,0,0,3
"2025-05-01",0,0,0,3
"2025-05-01",1,0,0,3
"2025-06-01",4,0,0,2
"2025-06-01",1,0,0,2
"2025-06-01",0,0,0,2
"2025-06-01",2,0,0,2
"2025-06-01",3,0,0,2
"2025-07-01",2,0,,0
"2025-07-01",3,0,,0
"2025-07-01",1,0,,0
"2025-07-01",0,0,,0
"2025-08-01",1,0,0,3
"2025-08-01",0,0,0,3
"2025-08-01",2,0,0,3
"2025-09-01",0,2,0.10526315789473684,19
"2025-09-01",1,1,0.05263157894736842,19
"2025-10-01",0,2,0.09090909090909091,22
