"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Homepage","/",1468,1649,20,11
"Product","/products/dreamshade-mask",1057,1261,50,33
"Product","/products/dreamrevive-16-head-massager",643,710,23,18
"Product","/products/dreambreathe-electric-anti-snoring-respirator",455,503,9,7
"Product","/products/sleep-oasis-blue-light-glasses",450,490,25,2
"Product","/products/cervical-pillow",54,60,3,2
,"/zh-hant/products/dreamshade-mask",51,58,3,3
"Product","/products/neck-massager",35,39,1,0
"Custom Page","/pages/our-story",28,29,0,0
"Product","/products/5-step-evening-sleep-ritual",26,26,1,1
"Product","/products/seat-cushion",24,25,1,1
,"/zh-hans",18,21,0,0
"Custom Page","/pages/contact-us",20,21,0,0
"Collection","/collections/frontpage",18,18,0,0
"Collection","/collections/all",17,17,0,0
,"/zh-hant",10,16,1,1
"Blog Index","/blogs/news",11,15,0,0
,"/policies/shipping-policy",8,9,0,0
"Custom Page","/pages/collab",8,9,0,0
,"/products_preview",3,7,0,0
,"/policies/contact-information",7,7,0,0
"Cart","/cart",6,6,0,0
"Blog Article","/blogs/news/dreamshade-vs-manta-sleep-mask-the-ultimate-sleep-experience-by-sleep-oasis",2,6,0,0
,"/policies/refund-policy",6,6,0,0
"Blog Article","/blogs/news/from-boardroom-to-bedroom-how-sleep-loss-impacts-your-work-and-relationships",4,5,0,0
"Blog Article","/blogs/news/how-blue-light-glasses-improve-sleep-protect-eyes-digital-age",1,5,0,0
"Customer Account","/account/unsubscribe",3,4,0,0
,"/zh-hant/products/dreamrevive-16-head-massager",4,4,0,0
,"/zh-hant/blogs/news/dreamshade-vs-manta-sleep-mask-the-ultimate-sleep-experience-by-sleep-oasis",3,3,0,0
,"/zh-hans/products/dreambreathe-electric-anti-snoring-respirator",2,2,0,0
"Blog Article","/blogs/news/dating-disasters-how-looking-tired-can-ruin-your-first-impression",2,2,0,0
,"/zh-hans/products/dreamrevive-16-head-massager",2,2,0,0
,"/zh-hans/pages/our-story",2,2,0,0
,"/zh-hant/collections/frontpage",2,2,0,0
"Checkout","/checkouts/cn/hWN4YCRccuWj3VxU3AhAEc2T/en-tw",1,2,0,2
"Checkout","/checkouts/ac/hWN3qEUiFD7c5A0AMdwdhPnd/zh-hant",2,2,0,0
"Custom Page","/pages/faq",2,2,0,0
"Blog Article","/blogs/news/conquer-jet-lag-how-the-dreamshade-sleep-mask-elevates-your-long-haul-flight-rest",2,2,0,0
,"/policies/privacy-policy",1,1,0,0
"Blog Article","/blogs/news/presentations-and-public-speaking-how-sleep-elevates-your-pitch-into-pure-brilliance",1,1,0,0
,"/zh-hant/products/dreambreathe-electric-anti-snoring-respirator",1,1,0,0
,"/checkout/91618246946/cn/hWN4c38OTGc8rbpZnKvHT1MX/en-hk/shoppay",1,1,0,1
"Search","/search",1,1,0,0
"Blog Index","/blogs/news/articles",1,1,0,0
,"/zh-hant/pages/our-story",1,1,0,0
,"/zh-hant/policies/terms-of-service",1,1,0,0
"Checkout","/checkouts/cn/hWN5Hd1ZQpKtdxCY9kyf6K3Q/en-au/thank-you",1,1,0,0
"Checkout","/checkouts/cn/hWN4v9sCXiIfF27suPmB945K/en-us",1,1,1,1
"Checkout","/checkouts/cn/hWN5DGRqoUgaQ2a1UcBFpwhw/en-hk",1,1,1,1
"Checkout","/checkouts/ac/hWN4YMnc33Ln7lfvqbF5OC3g/en-hk",1,1,0,0
,"/_CGI/MODEL.HTML",1,1,0,0
"Blog Article","/blogs/news/from-burnout-to-bliss-the-dreamrevive-revolution-that-s-redefining-rest",1,1,0,0
"Checkout","/checkouts/ac/hWN4rOBoIlF1gpLZIPVO2ktg/zh-hant",1,1,0,0
"Checkout","/checkouts/cn/hWN5BqjN3vDV7BjVFl8nBMFF/en-us",1,1,0,1
,"/zh-hans/_CGI/SEARCH3.HTML",1,1,0,0
,"/zh-hant/blogs/news/i-tried-tart-cherry-juice-before-sleep-for-14-days-the-real-changes",1,1,0,0
"Checkout","/checkouts/cn/hWN5M7EL1GSzillESlyYXu7O/en-us/",1,1,0,1
,"/zh-hant/collections/all",1,1,0,0
