"Day","Online store visitors","Sessions","Day (previous_period)","Online store visitors (previous_period)","Sessions (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) "
"2025-10-21",155,173,"2025-09-20",42,44,269.04761904761904,293.1818181818182
"2025-10-22",100,107,"2025-09-21",84,90,19.047619047619047,18.88888888888889
"2025-10-23",81,90,"2025-09-22",101,106,-19.801980198019802,-15.09433962264151
"2025-10-24",253,262,"2025-09-23",123,129,105.6910569105691,103.10077519379846
"2025-10-25",313,333,"2025-09-24",168,176,86.30952380952381,89.20454545454545
"2025-10-26",131,144,"2025-09-25",162,164,-19.135802469135804,-12.195121951219512
"2025-10-27",109,129,"2025-09-26",93,99,17.204301075268816,30.303030303030305
"2025-10-28",230,248,"2025-09-27",49,55,369.38775510204084,350.90909090909093
"2025-10-29",281,293,"2025-09-28",71,79,295.77464788732397,270.88607594936707
"2025-10-30",271,289,"2025-09-29",83,91,226.50602409638554,217.58241758241758
"2025-10-31",141,148,"2025-09-30",59,66,138.98305084745763,124.24242424242425
"2025-11-01",122,133,"2025-10-01",130,141,-6.153846153846154,-5.673758865248227
"2025-11-02",202,211,"2025-10-02",115,119,75.65217391304348,77.3109243697479
"2025-11-03",169,191,"2025-10-03",103,104,64.07766990291262,83.65384615384616
"2025-11-04",179,187,"2025-10-04",101,110,77.22772277227723,70
"2025-11-05",113,122,"2025-10-05",101,104,11.881188118811881,17.307692307692307
"2025-11-06",75,79,"2025-10-06",65,68,15.384615384615385,16.176470588235293
"2025-11-07",121,136,"2025-10-07",111,123,9.00900900900901,10.56910569105691
"2025-11-08",197,206,"2025-10-08",76,81,159.21052631578948,154.320987654321
"2025-11-09",187,202,"2025-10-09",118,126,58.47457627118644,60.317460317460316
"2025-11-10",215,230,"2025-10-10",100,105,115,119.04761904761905
"2025-11-11",131,141,"2025-10-11",244,250,-46.31147540983606,-43.6
"2025-11-12",114,127,"2025-10-12",63,64,80.95238095238095,98.4375
"2025-11-13",157,174,"2025-10-13",132,138,18.939393939393938,26.08695652173913
"2025-11-14",108,119,"2025-10-14",87,101,24.137931034482758,17.821782178217823
"2025-11-15",73,84,"2025-10-15",114,123,-35.96491228070175,-31.70731707317073
"2025-11-16",96,106,"2025-10-16",138,148,-30.434782608695652,-28.37837837837838
"2025-11-17",87,98,"2025-10-17",103,106,-15.533980582524272,-7.547169811320755
"2025-11-18",65,81,"2025-10-18",92,103,-29.347826086956523,-21.359223300970875
"2025-11-19",150,160,"2025-10-19",53,55,183.0188679245283,190.9090909090909
"2025-11-20",52,54,"2025-10-20",63,66,147.61904761904762,145.45454545454547
